region;comuna;estado_principal_label;apto_para_visor;archivo_recomendado;capa_recomendada;motivo;prc_fecha;prc_nombre;actos_posteriores;ultimo_acto_posterior
La Araucanía;Nueva Imperial;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;2025-07-26;Actualización PRC Nueva Imperial;0;
La Araucanía;Padre Las Casas;Vigente · sin cambios posteriores detectados;SI;IPT_Araucania/PRC/Padre las Casas/IPT_09_PRC_Padre_Las_Casas.shp;IPT_09_PRC_Padre_Las_Casas;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;1983-07-14;Zona F Plan Regulador Comunal de Temuco (Decreto N°100 del 14-07-1983);0;
La Araucanía;Perquenco;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
La Araucanía;Pitrufquen;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Pitrufquen/IPT_09_PRC_Pitrufquen.shp;IPT_09_PRC_Pitrufquen;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1984-01-31;Plan Regulador Comunal de Pitrufquén;3;2017-08-09
La Araucanía;Pucon;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Pucon/IPT_09_PRC_Pucon.shp;IPT_09_PRC_Pucon;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1994-05-06;Plan Regulador Comunal de Pucón;2;2023-01-31
La Araucanía;Puren;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
La Araucanía;Renaico;SIG encontrado, vínculo ambiguo;REVISAR;IPT_Araucania/PRC/Renaico/IPT_09_PRC_Renaico.shp;IPT_09_PRC_Renaico;Existe cartografía candidata, pero todavía no se puede asegurar que corresponda al instrumento correcto.;2023-02-18;Plan Regulador Comunal de Renaico;0;
La Araucanía;Saavedra;Vigente · sin cambios posteriores detectados;SI;IPT_Araucania/PRC/Puerto Saavedra/IPT_09_PRC_Puerto_Saavedra.shp;IPT_09_PRC_Puerto_Saavedra;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;1964-01-06;Plan Regulador Comunal de Puerto Saavedra;0;
La Araucanía;Temuco;SIG encontrado, vínculo ambiguo;REVISAR;IPT_Araucania/PRC/Temuco/IPT_09_PRC_ARC_Temuco.shp;IPT_09_PRC_ARC_Temuco;Existe cartografía candidata, pero todavía no se puede asegurar que corresponda al instrumento correcto.;2010-02-02;Plan Regulador Comunal de Temuco-Labranza;3;2015-06-13
La Araucanía;Teodoro Schmidt;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
La Araucanía;Tolten;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;2026-05-29;Plan Regulador Comunal Toltén, localidades de Nueva Toltén y Villa Los Boldos;0;
La Araucanía;Traiguen;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_Araucania/PRC/Traiguen/IPT_09_PRC_Traiguen.shp;IPT_09_PRC_Traiguen;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;1991-12-07;Plan Regulador Comunal de Traiguén;1;
La Araucanía;Victoria;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Victoria/IPT_09_PRC_Victoria.shp;IPT_09_PRC_Victoria;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1991-12-07;Plan Regulador Comunal de Victoria;2;2010-12-16
La Araucanía;Vilcun;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;1966-10-18;Aprueba Plano Regulador, ordenanza local y límite urbano de Cajón.;1;
La Araucanía;Villarrica;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;1992-06-20;Plan Regulador de Lican Ray;8;2018-11-23
Libertador General Bernardo O'Higgins;Chepica;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Chepica/IPT_06_PRC_Chepica.shp;IPT_06_PRC_Chepica;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2009-02-11;Plan Regulador Comunal de Chépica_Localidades de Chépica y Auquinco;0;
Libertador General Bernardo O'Higgins;Chimbarongo;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Chimbarongo/IPT_06_PRC_Chimbarongo.shp;IPT_06_PRC_Chimbarongo;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2011-06-17;Plan Regulador Comunal de Chimbarongo;0;
Libertador General Bernardo O'Higgins;Codegua;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Codegua/IPT_06_PRC_Codegua.shp;IPT_06_PRC_Codegua;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2018-08-29;Plan Regulador Comunal de Codegua_Localidades de Codegua y La Compañía;0;
Libertador General Bernardo O'Higgins;Coinco;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Coinco/IPT_06_PRC_Coinco.shp;IPT_06_PRC_Coinco;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2008-08-28;Plan Regulador Comunal de Coinco_Localidades de Coinco- Cruz de Chillehue y Copequén;0;
